TRAINING ERROR: 

num_of_samples = 100 000
eta: 0.1 , k: 1  -> error 0.7499383583080272
eta: 0.1 , k: 4  -> error 0.7579834093358901
eta: 0.1 , k: 5  -> error 0.7681999114896227
eta: 0.01 , k: 1  -> error 0.5110737744906131
eta: 0.01 , k: 2  -> error 0.5098135594984058
eta: 0.01 , k: 3  -> error 0.509331741563433
eta: 0.01 , k: 4  -> error 0.509802400948949
eta: 0.01 , k: 5  -> error 0.5089958974375807
eta: 0.001 , k: 1  -> error 0.5907370489949788
eta: 0.001 , k: 2  -> error 0.5506461162763673
eta: 0.001 , k: 3  -> error 0.5371449378705534
eta: 0.001 , k: 4  -> error 0.5289910312163978
eta: 0.001 , k: 5  -> error 0.525892013769065
eta: 0.0001 , k: 1  -> error 0.7994697302634108
eta: 0.0001 , k: 2  -> error 0.6845432344603516
eta: 0.0001 , k: 3  -> error 0.6416857122932141
eta: 0.0001 , k: 4  -> error 0.6252011398484302
eta: 0.0001 , k: 5  -> error 0.6095409099780992


num_of_samples = 100 000
eta: 0.004 , k: 1  -> error 0.6749947902163257
eta: 0.004 , k: 2  -> error 0.6052034554472021
eta: 0.004 , k: 3  -> error 0.5791189505407652
eta: 0.004 , k: 4  -> error 0.5676806610076172
eta: 0.004 , k: 5  -> error 0.5603498281261775
eta: 0.005 , k: 1  -> error 0.6602960007655418
eta: 0.005 , k: 2  -> error 0.5926664166418176
eta: 0.005 , k: 3  -> error 0.5708758410075073
eta: 0.005 , k: 4  -> error 0.5611025582542329
eta: 0.005 , k: 5  -> error 0.5547353215709462
eta: 0.007 , k: 1  -> error 0.6333293015290741
eta: 0.007 , k: 2  -> error 0.5778276312513984
eta: 0.007 , k: 3  -> error 0.5611380088185238
eta: 0.007 , k: 4  -> error 0.5526036451858282
eta: 0.007 , k: 5  -> error 0.5467479099367732
eta: 0.01 , k: 1  -> error 0.603014877765588
eta: 0.01 , k: 2  -> error 0.5667741600985182
eta: 0.01 , k: 3  -> error 0.5519261318586658
eta: 0.01 , k: 4  -> error 0.5455520264571342
eta: 0.01 , k: 5  -> error 0.5433857447887542
eta: 0.012 , k: 1  -> error 0.5931564186147164
eta: 0.012 , k: 2  -> error 0.5616005543126252
eta: 0.012 , k: 3  -> error 0.5481846931798742
eta: 0.012 , k: 4  -> error 0.544527738428448
eta: 0.012 , k: 5  -> error 0.5405844585758227

num_of_samples = 100 000
eta: 0.01 , k: 1  -> error 0.6058883514931122
eta: 0.01 , k: 2  -> error 0.5659703277890485
eta: 0.01 , k: 3  -> error 0.5531401317765976
eta: 0.01 , k: 4  -> error 0.5455672870514255
eta: 0.01 , k: 5  -> error 0.5398997938466257
eta: 0.011 , k: 1  -> error 0.5979327277160027
eta: 0.011 , k: 2  -> error 0.5641889451229406
eta: 0.011 , k: 3  -> error 0.5505948540672454
eta: 0.011 , k: 4  -> error 0.5440976912998695
eta: 0.011 , k: 5  -> error 0.5385542647480628
eta: 0.012 , k: 1  -> error 0.5919476339670382
eta: 0.012 , k: 2  -> error 0.5596664823219069
eta: 0.012 , k: 3  -> error 0.5496961919850448
eta: 0.012 , k: 4  -> error 0.5416753909016168
eta: 0.012 , k: 5  -> error 0.5399743596476536
eta: 0.013 , k: 1  -> error 0.5897287532556226
eta: 0.013 , k: 2  -> error 0.5602907581832636
eta: 0.013 , k: 3  -> error 0.5495550589190878
eta: 0.013 , k: 4  -> error 0.5426222107016504
eta: 0.013 , k: 5  -> error 0.5403035594467762
eta: 0.015 , k: 1  -> error 0.5825046419106531
eta: 0.015 , k: 2  -> error 0.5557830991079641
eta: 0.015 , k: 3  -> error 0.5475159162056911
eta: 0.015 , k: 4  -> error 0.5424390563718616
eta: 0.015 , k: 5  -> error 0.538559949900388

ETA = 0.011




