Training data...
Loading data... 
Data loaded
Extracting data...
Data extracted
Implicit data...
Loading data... 
Data loaded
Extracting data...
Data extracted
crossvalidating BPMF model...
Rank [8, 9, 10]
iteration: 31, train RMSE: 0.9148375816815928 , val RMSE: 0.9752286038255283 
iteration: 32, train RMSE: 0.9144835169800389 , val RMSE: 0.9751901177272172 
iteration: 33, train RMSE: 0.914139546696575 , val RMSE: 0.9751528147329975 
iteration: 34, train RMSE: 0.9138565109036708 , val RMSE: 0.9750253458192558 
iteration: 35, train RMSE: 0.9135664784387003 , val RMSE: 0.9749817045623773 
iteration: 36, train RMSE: 0.9133046868631256 , val RMSE: 0.9748000816855698 
iteration: 37, train RMSE: 0.9130362922717531 , val RMSE: 0.974708798081509 
iteration: 38, train RMSE: 0.9127829593166052 , val RMSE: 0.9746018568923311 
iteration: 39, train RMSE: 0.9125557001273608 , val RMSE: 0.9746129625541182 
Test......
training size: 1165182
validation size: 11770
iteration: 0, train RMSE: 1.0259576770608612 , val RMSE: 1.0395552035825306 
iteration: 1, train RMSE: 1.0131734236641898 , val RMSE: 1.0286885860009922 
iteration: 2, train RMSE: 0.9957971583636893 , val RMSE: 1.0137753021645668 
iteration: 3, train RMSE: 0.9864434383608162 , val RMSE: 1.0062789366908442 
iteration: 4, train RMSE: 0.9786089968075903 , val RMSE: 1.0012109763448531 
iteration: 5, train RMSE: 0.9707255909418109 , val RMSE: 0.9968737516516937 
iteration: 6, train RMSE: 0.963236641409606 , val RMSE: 0.9938973872948347 
iteration: 7, train RMSE: 0.9562985123839551 , val RMSE: 0.9915993235087776 
iteration: 8, train RMSE: 0.9501637249516945 , val RMSE: 0.990034175371486 
iteration: 9, train RMSE: 0.945059877747795 , val RMSE: 0.988907265977887 
iteration: 10, train RMSE: 0.9407375407062246 , val RMSE: 0.9875011216399913 
iteration: 11, train RMSE: 0.9371665520996552 , val RMSE: 0.9868467922147293 
iteration: 12, train RMSE: 0.934204628204976 , val RMSE: 0.9862501085715215 
iteration: 13, train RMSE: 0.9316333157947463 , val RMSE: 0.9861391506240094 
iteration: 14, train RMSE: 0.9294592094228443 , val RMSE: 0.9859258613652248 
iteration: 15, train RMSE: 0.9275754428923259 , val RMSE: 0.9858256806270924 
iteration: 16, train RMSE: 0.9259387790404873 , val RMSE: 0.9857646224309329 
iteration: 17, train RMSE: 0.9244995419173494 , val RMSE: 0.9857733322118377 
iteration: 18, train RMSE: 0.9232315624119565 , val RMSE: 0.9857576879195299 
iteration: 19, train RMSE: 0.9221124064777859 , val RMSE: 0.98562748186208 
iteration: 20, train RMSE: 0.9211035152921415 , val RMSE: 0.9854936132209939 
iteration: 21, train RMSE: 0.9202135463917581 , val RMSE: 0.9855570634866514 
iteration: 22, train RMSE: 0.9194264083576638 , val RMSE: 0.9856280312955756 
iteration: 23, train RMSE: 0.9186910338256008 , val RMSE: 0.9857984867882557 
iteration: 24, train RMSE: 0.9180333818449122 , val RMSE: 0.9858469877614642 
iteration: 25, train RMSE: 0.9174367366379185 , val RMSE: 0.9859136231929647 
iteration: 26, train RMSE: 0.9168915145375395 , val RMSE: 0.9859425256380276 
iteration: 27, train RMSE: 0.916409156441904 , val RMSE: 0.9860658794021654 
iteration: 28, train RMSE: 0.9159315983159946 , val RMSE: 0.9860913634102803 
iteration: 29, train RMSE: 0.9155082097614383 , val RMSE: 0.986119575071714 
iteration: 30, train RMSE: 0.9151315072788757 , val RMSE: 0.9861231861306446 
iteration: 31, train RMSE: 0.9147622630983915 , val RMSE: 0.986210829687963 
iteration: 32, train RMSE: 0.9144255622657711 , val RMSE: 0.9863730860955913 
iteration: 33, train RMSE: 0.9141103461688583 , val RMSE: 0.986487250887878 
iteration: 34, train RMSE: 0.9138135063253309 , val RMSE: 0.9865691572875988 
iteration: 35, train RMSE: 0.9135194963365154 , val RMSE: 0.9865671244318456 
iteration: 36, train RMSE: 0.9132702279406004 , val RMSE: 0.9865998456659636 
iteration: 37, train RMSE: 0.9130299859679067 , val RMSE: 0.986670757955132 
iteration: 38, train RMSE: 0.9128011965536688 , val RMSE: 0.9868190502077654 
iteration: 39, train RMSE: 0.9125793584026248 , val RMSE: 0.986866561060365 
Test......
training size: 1165182
validation size: 11770
iteration: 0, train RMSE: 1.0265217264852518 , val RMSE: 1.03472281114731 
iteration: 1, train RMSE: 1.0149094318615985 , val RMSE: 1.0256292789046537 
iteration: 2, train RMSE: 0.9972929369432807 , val RMSE: 1.010627147325826 
iteration: 3, train RMSE: 0.9875015343948387 , val RMSE: 1.0028681911749269 
iteration: 4, train RMSE: 0.9794102608465287 , val RMSE: 0.9978955823799612 
iteration: 5, train RMSE: 0.9713584174837625 , val RMSE: 0.9937887124677889 
iteration: 6, train RMSE: 0.9637152213047468 , val RMSE: 0.9903639633587542 
iteration: 7, train RMSE: 0.9567233759058462 , val RMSE: 0.9877062155366362 
iteration: 8, train RMSE: 0.9505445120408357 , val RMSE: 0.985450141816687 
iteration: 9, train RMSE: 0.9453154131131051 , val RMSE: 0.9835539858575945 
iteration: 10, train RMSE: 0.9409293870811952 , val RMSE: 0.9821576877215484 
iteration: 11, train RMSE: 0.9372913944746512 , val RMSE: 0.9808838746385597 
iteration: 12, train RMSE: 0.9341874934568422 , val RMSE: 0.9799265442031525 
iteration: 13, train RMSE: 0.9316328621587417 , val RMSE: 0.979505590340039 
iteration: 14, train RMSE: 0.9294526134087268 , val RMSE: 0.9791098545973392 
iteration: 15, train RMSE: 0.9275894160114257 , val RMSE: 0.9786604085470606 
iteration: 16, train RMSE: 0.9259615812822684 , val RMSE: 0.9781837418390467 
iteration: 17, train RMSE: 0.9245296249114019 , val RMSE: 0.9779932827336743 
iteration: 18, train RMSE: 0.9232957984890412 , val RMSE: 0.9778066555581312 
iteration: 19, train RMSE: 0.9221985556588318 , val RMSE: 0.9776321607598292 
iteration: 20, train RMSE: 0.9212262206055731 , val RMSE: 0.9774874052293312 
iteration: 21, train RMSE: 0.9203754783593211 , val RMSE: 0.9773241661795958 
iteration: 22, train RMSE: 0.9195969719782884 , val RMSE: 0.9773581473816183 
iteration: 23, train RMSE: 0.9188898161475492 , val RMSE: 0.9773324056114964 
iteration: 24, train RMSE: 0.9182371722129422 , val RMSE: 0.9773534264102347 
iteration: 25, train RMSE: 0.9176642642320624 , val RMSE: 0.9773541157079119 
iteration: 26, train RMSE: 0.917137787216905 , val RMSE: 0.9773506280489029 
iteration: 27, train RMSE: 0.9166474488683142 , val RMSE: 0.9773333952176498 
iteration: 28, train RMSE: 0.9162007386273109 , val RMSE: 0.9772526452471344 
iteration: 29, train RMSE: 0.9157724359159132 , val RMSE: 0.9772996830882794 
iteration: 30, train RMSE: 0.915400893238468 , val RMSE: 0.9773241020149391 
iteration: 31, train RMSE: 0.9150381770650774 , val RMSE: 0.9773921323441612 
iteration: 32, train RMSE: 0.9146993766436252 , val RMSE: 0.9774516580711013 
iteration: 33, train RMSE: 0.9143954954678075 , val RMSE: 0.9775225091822024 
iteration: 34, train RMSE: 0.9141119666768847 , val RMSE: 0.9775436604517481 
iteration: 35, train RMSE: 0.9138238788624511 , val RMSE: 0.977589131370929 
iteration: 36, train RMSE: 0.9135804779175444 , val RMSE: 0.9776618476853687 
iteration: 37, train RMSE: 0.9133528337214336 , val RMSE: 0.9777348448785493 
iteration: 38, train RMSE: 0.9131530680995875 , val RMSE: 0.9777577826034878 
iteration: 39, train RMSE: 0.912941384934788 , val RMSE: 0.9777557743862307 
Test......
training size: 1165182
validation size: 11770
iteration: 0, train RMSE: 1.0263081766545423 , val RMSE: 1.047158326290221 
iteration: 1, train RMSE: 1.014704393232921 , val RMSE: 1.0371670525958947 
iteration: 2, train RMSE: 0.9985516562123545 , val RMSE: 1.023654948158055 
iteration: 3, train RMSE: 0.9879126596375991 , val RMSE: 1.0154789977771346 
iteration: 4, train RMSE: 0.9792541683896843 , val RMSE: 1.0096042799560967 
iteration: 5, train RMSE: 0.9711503617871707 , val RMSE: 1.0055025415428087 
iteration: 6, train RMSE: 0.9637345414091352 , val RMSE: 1.001732193429101 
iteration: 7, train RMSE: 0.9567926558840651 , val RMSE: 0.9993630408084904 
iteration: 8, train RMSE: 0.9506640265197875 , val RMSE: 0.9973984605315429 
iteration: 9, train RMSE: 0.9455403015970909 , val RMSE: 0.9961253383500691 
iteration: 10, train RMSE: 0.9412555328574184 , val RMSE: 0.995235881545822 
iteration: 11, train RMSE: 0.9376611362281 , val RMSE: 0.9944755084177878 
iteration: 12, train RMSE: 0.9345859175345774 , val RMSE: 0.9937629226646004 
iteration: 13, train RMSE: 0.9319990577405493 , val RMSE: 0.9933185923953309 
iteration: 14, train RMSE: 0.929794255411098 , val RMSE: 0.9929486106912823 
iteration: 15, train RMSE: 0.9278760950635094 , val RMSE: 0.9925608021248882 
iteration: 16, train RMSE: 0.9262508221150065 , val RMSE: 0.9925839280168659 
iteration: 17, train RMSE: 0.9248328015148432 , val RMSE: 0.9924592292275403 
iteration: 18, train RMSE: 0.9235691277044658 , val RMSE: 0.9923129906997581 
iteration: 19, train RMSE: 0.9224378338433752 , val RMSE: 0.9922076703621618 
iteration: 20, train RMSE: 0.921426347779736 , val RMSE: 0.992066098561838 
